Barcode,Description ,Price,Remarks,
8904041500487,K Pra - Chakali Ready Mix 500g,$3.99,,
8904041500500,K Pra - Thalipeeth Mix Flour 200g,$2.99,,
8904041500517,K Pra - Thalipeeth Mix Flour 500g,$4.99,,
791928119126,Tangerines Bag,$3.99,,
847081001140,Pomegranate Bag 2lb,$2.99,,
701080310231,Avocado Bag,$2.99,,
872198003336,Vidhya - Zeera Punjabi Biscuits 1kg,$6.99,,
872198000809,Vidhya - Punjabi Biscuits 1kg,$6.99,,
872198000816,Vidhya - Gur Punjabi Biscuits 1kg,$6.99,,
872198003244,Vidhya - Sooji Punjabi Biscuits 1kg,$6.99,,
81393005575,Chettinad - Gingelly Oil 1ltr,$6.99,Add 0 in Front,
872198002025,Vidhya - Paan Ladoo 200g,$4.99,,
840033817073,Veer - Kesar Pista RasMalai 2lb,$9.99,,
627374103016,NIB - Coconut Powder 400g,$2.49,,
627374103054,NIB - Cashew Supreme 800g,$12.99,,
872198003398,Vidhya - Bhel Puri Mix 150g,$2.99,,
813930015453,Chettinad - Groundnut Oil 2ltr,$14.99,,
840033809795,Veer - Milk Cake 400g,$7.99,,
20024900000,Potato Fryums Sale,WH Generated Barcode,,
817602015888,Veer - Black Cardamom 200g,$12.99,,
840033815772,Veer - Organic Amaranth Flour 2lb,$3.99,,
829426700079,Veer - Dhokla Flour 2lb,$3.99,,
840033815987,Veer - Juwar Mamra 200g,$1.99,,
840033812498,Veer - Organic Sooji 2lb,$3.99,,
840033813471,Veer - Garlic Naan 320g,$2.99,,
8904001803214,Idhayam - Peanut Oil 5ltr,$29.99,,
8682032002119,Brio - Sunflower Oil 5ltr,$24.99,,
840033804608,Veer - Karela Pickle 10oz,$2.99,,
840033804660,Veer - Khaman Gunda Pickle 10oz,$2.99,,
840033804479,Veer - Carrot Chilli Pickle 10oz,$2.99,,
840033804592,Veer - Punjabi Mixed Pickle 10oz,$2.99,,
840033804523,Veer - Lime Pickle (Sweet) 11oz,$2.99,,
840033804530,Veer - Sweet Mango Pickle 11oz,$2.99,,
840033804516,Veer - Chhundo 11oz,$2.99,,
840033804684,Veer - Punjabi Mango Pickle 10oz,$2.99,,
840033804486,Veer - Lime Chilli Pickle 10oz,$2.99,,
840033804578,Veer - Gunda Pickle 10oz,$2.99,,
20351600000,Raw Peanuts,,WH Generated Barcode,
20040800000,Raw Peanuts Sale,,WH Generated Barcode,
20013600000,Frozen Cut Corn,,WH Generated Code,
856904003971,Verka - Mix Fruit Candy 400g,$3.49,,
856904003940,Verka - Khatta Meetha Aam Papad 150g,$1.99,,
