Barcode,Description ,Price,Remarks,UPC
8904083510574,24 Mantra - Organic Garlic Paste 10oz,$4.99,,
754003784596,Sabah - Double Roasted Tahini 500g,$5.49,Add zero,
840033812269,Veer - Coconut Chutney 10oz,$1.99,,
8906040911677,Veer - Amla Murabba 28oz,$4.99,,
8906040911660,Veer - Carrot Murabba 28oz,$4.99,,
8906040911653,Veer - Mango Chutney 28oz,$4.99,,
8901738804002,Veer - Punjabi Mango Pickle 1.2 Kg,$4.99,,
856904001564,Verka - Punjabi Mango Pickle 28oz,$4.49,,
8906040911509,Veer - Garlic Paste 25oz,$4.99,,
8906040911516,Veer - Ginger Paste 25oz,$4.99,,
93856994623,Samui - Green Curry Paste 400g,$5.99,Add zero,
723246009063,Laxmi - Ginger Paste 8oz,$3.29,,
856904002301,Verka - Ginger Garlic Paste 300g,$3.49,,
856904002844,Verka - Organic Ginger Garlic Paste,$3.99,,
856904001557,Verka - Ginger Garlic Paste 750g,$3.99,,
788821001160,Shan - Ginger Paste 310g,$2.79,,
788821001177,Shan - Garlic Paste 310g,$2.79,,
788821001191,Shan - Ginger Paste 700g,$4.99,,
8906040917495,GharSe Ginger Garlic Paste 300g ,$2.79,,
840033810425,Veer - Organic Green Moong Whole 2lbs,$4.99,,
840033810586,Veer - Organic Toor Dal 2lbs,$4.99,,
840033810562,Veer - Organic Kala Chana 2lbs,$4.99,,
840033810432,Veer - Organic Green Gram With Split 2lbs,$4.99,,
817602025412,Veer - Organic Urad Chilka 2lbs,$4.99,,
8906029400222,Sheel - Organic Urad Whole 2lbs,$4.99,,
817602024965,Veer - Organic Moong Dal 2lbs,$4.99,,
817602025443,Veer - Organic Masoor Malka 2lbs,$4.99,,
817602024996,Veer- Organic Urad Beans 2lbs,$4.99,,
817602024972,Veer - Organic Urad Gota 2lbs,$4.99,,
817602025009,Veer - Organic Urad Beans 4lbs,$8.99,,
840033810814,Veer - Organic Lal Rajma 4lbs,$8.99,,
817602025108,Veer - Organic Moth Beans 4lbs,$8.99,,
817602024989,Veer - Organic Urad Gota 4lbs,$8.99,,
840033814034,Veer - Organic Kabuli Chana 7lbs,$14.99,,
840033812504,Veer - Organic Daliya 2lbs,$3.49,,
840033804356,Veer - Cracked Wheat Big Coarse 2lbs,$2.99,,
817602016502,Veer - Cracked Wheat Medium Coarse,$2.99,,
817602016496,Veer - Cracked Wheat Small 2lbs,$2.99,,
788821119025,Shan - Kat a Kat 50g,$1.79,,
788821019141,Shan - Sindhi Biryani 60g,$1.79,,
40048957492,Happy Leaf - Organic Masoor Dal 3.5lbs,$7.99,Add zero,
40048957508,Happy Leaf - Organic Mix Dal 3.5lbs,$7.99,Add zero,
40048957461,Happy Leaf - Organic Cowpeas 3.5lbs,$7.99,Add zero,
40048957539,Happy Leaf - Organic Moong Dal 3.5lbs,$7.99,Add zero,
40048957584,Happy Leaf - Organic Urad Dal 3.5lbs,$7.99,Add zero,
40048957515,Happy Leaf - Moong Dal Mogar 3.5lbs,$7.99,Add zero,
40048957577,Happy Leaf - Toor Dal 3.5lbs,$7.99,Add zero,
8906029403278,Sheel - Masoor Malka 2lbs,$3.99,,
817602019664,Veer - Urad Gota 4lbs,$6.99,,
817602011422,Veer - Urad Gota 2lbs,$3.99,,
840033805445,Veer - Urid Dal 4lbs,$6.99,,
840033805438,Veer - Urid Dal 2lbs,$3.99,,
840033802895,Veer - Punjabi Dal Mix 2lbs,$3.99,,
817602011408,Veer - Urad Dal Chilka 2lbs,$3.99,,
817602025214,Veer - Urad Whole 2lbs,$3.99,,
817602023289,Veer - Kabuli Chana 2lbs,$3.99,,
8906029403421,Veer - Kabuli Chana 4lbs,$6.99,,
817602018117,Veer - Toor Dal 2lbs,$3.99,,
817602018124,Veer - Toor Dal 4lbs,$6.99,,
817602025863,Veer - Moth Whole 2lbs,$3.99,,
817602025870,Veer - Moth Whole 4lbs,$6.99,,
840033805452,Veer - Kashmiri Rajma 2lbs,$3.99,,
817602011859,Veer - Kidney Beans 2lbs,$3.99,,
817602025153,Veer - Kala Chana 2lbs,$3.99,,
829426703728,Veer - Desi Chana 4lbs,$6.99,,
840033806176,Veer - Rajma Chitra 2lbs ,$3.99,,
817602025146,Veer - Chana Dal 4lbs,$6.99,,
829426706422,Veer - Chana Dal 2lbs,$3.99,,
817602012818,Veer - Moong Dal Chilka 4lbs,$6.99,,
817602011460,Veer - Masoor Dal 2lbs,$3.99,,
840033806343,Veer - Surti Val 2lbs,$3.99,,
840033803533,Veer - Mix Dal 4lbs,$6.99,,
817602011361,Veer - Moong Beans 2lbs,$3.99,,
